"City","Country","Continent"
"Zurich","Switzerland","Europe"
"Basel","Switzerland","Europe"
"Geneva","Switzerland","Europe"
"The Hague (Den Haag)","Netherlands","Europe"
"Eindhoven","Netherlands","Europe"
"Copenhagen","Denmark","Europe"
"Edinburgh","United Kingdom","Europe"
"Dusseldorf","Germany","Europe"
"Vienna","Austria","Europe"
"Reykjavik","Iceland","Europe"
"Munich","Germany","Europe"
"Luxembourg","Luxembourg","Europe"
"Cambridge","United Kingdom","Europe"
"Helsinki","Finland","Europe"
"Gothenburg","Sweden","Europe"
"Belfast","United Kingdom","Europe"
"Amsterdam","Netherlands","Europe"
"Frankfurt","Germany","Europe"
"Valencia","Spain","Europe"
"Liverpool","United Kingdom","Europe"
"Glasgow","United Kingdom","Europe"
"Tallinn","Estonia","Europe"
"Hamburg","Germany","Europe"
"Rotterdam","Netherlands","Europe"
"Stuttgart","Germany","Europe"
"Cork","Ireland","Europe"
"Graz","Austria","Europe"
"Berlin","Germany","Europe"
"Kaunas","Lithuania","Europe"
"Ljubljana","Slovenia","Europe"
"Vilnius","Lithuania","Europe"
"Oslo","Norway","Europe"
"Stockholm","Sweden","Europe"
"Bristol","United Kingdom","Europe"
"Prague","Czech Republic","Europe"
"Leeds","United Kingdom","Europe"
"Cologne","Germany","Europe"
"Zagreb","Croatia","Europe"
"Antwerp","Belgium","Europe"
"Brno","Czech Republic","Europe"
"Madrid","Spain","Europe"
"Porto","Portugal","Europe"
"Timisoara","Romania","Europe"
"Lisbon","Portugal","Europe"
"Cluj-Napoca","Romania","Europe"
"Split","Croatia","Europe"
"Lyon","France","Europe"
"Manchester","United Kingdom","Europe"
"Bratislava","Slovakia","Europe"
"Birmingham","United Kingdom","Europe"
"Riga","Latvia","Europe"
"Dublin","Ireland","Europe"
"Brussels","Belgium","Europe"
"Genoa","Italy","Europe"
"Gdansk","Poland","Europe"
"Barcelona","Spain","Europe"
"Bologna","Italy","Europe"
"Poznan","Poland","Europe"
"Nizhny Novgorod","Russia","Europe"
"Warsaw","Poland","Europe"
"Wroclaw","Poland","Europe"
"Novi Sad","Serbia","Europe"
"Varna","Bulgaria","Europe"
"Lodz","Poland","Europe"
"London","United Kingdom","Europe"
"Krakow (Cracow)","Poland","Europe"
"Turin","Italy","Europe"
"Iasi","Romania","Europe"
"Lviv","Ukraine","Europe"
"Budapest","Hungary","Europe"
"Sofia","Bulgaria","Europe"
"Paris","France","Europe"
"Milan","Italy","Europe"
"Bucharest","Romania","Europe"
"Sarajevo","Bosnia And Herzegovina","Europe"
"Athens","Greece","Europe"
"Chisinau","Moldova","Europe"
"Thessaloniki","Greece","Europe"
"Kiev (Kyiv)","Ukraine","Europe"
"Rome","Italy","Europe"
"Kharkiv","Ukraine","Europe"
"Belgrade","Serbia","Europe"
"Minsk","Belarus","Europe"
"Odessa (Odesa)","Ukraine","Europe"
"Moscow","Russia","Europe"
"Saint Petersburg","Russia","Europe"
"Skopje","North Macedonia","Europe"
"Dnipro","Ukraine","Europe"
"Yekaterinburg","Russia","Europe"
"Tirana","Albania","Europe"
"Novosibirsk","Russia","Europe"
