City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Raleigh,United States,207.78,144.12,65.53,75.64,68.2,3.05,32.79,21.88,83.88,2022,North America,35.7803977,-78.6390989
Canberra,Australia,207.41,105.11,77.53,82.17,75.94,5.37,23.91,13.37,82.72,2022,Oceania,-35.2975906,149.1012676
Adelaide,Australia,204.87,104.24,70.71,80.75,76.59,4.26,24.18,18.17,94.96,2022,Oceania,-34.9281805,138.5999312
Columbus,United States,201.4,151.29,56.58,73.95,69.7,4.0,24.94,25.96,71.29,2022,North America,39.9622601,-83.0007065
Zurich,Switzerland,200.89,129.79,83.22,74.21,131.24,7.94,32.95,17.92,81.48,2022,Europe,47.3744489,8.5410422
Madison,United States,199.18,132.13,66.0,77.78,67.32,3.52,24.18,18.98,51.64,2022,North America,43.074761,-89.3837613
Austin,United States,198.91,158.21,62.94,71.04,66.5,3.53,34.21,36.5,82.08,2022,North America,30.2711286,-97.7436995
Charlotte,United States,197.34,144.88,54.7,74.63,70.06,2.51,34.73,28.44,84.05,2022,North America,35.2272086,-80.8430827
Oklahoma City,United States,196.15,127.95,50.69,75.78,64.94,2.88,25.0,22.02,77.61,2022,North America,35.4729886,-97.5170536
Basel,Switzerland,195.79,111.53,79.52,78.56,130.93,8.37,20.79,23.62,82.82,2022,Europe,47.5581077,7.5878261
Wellington,New Zealand,194.97,85.49,70.72,74.96,76.66,6.92,27.74,13.01,97.68,2022,Oceania,-41.2887953,174.7772114
Richmond,United States,193.09,130.94,53.5,73.86,67.75,4.15,21.96,31.14,81.27,2022,North America,37.5385087,-77.43428
Geneva,Switzerland,193.01,120.6,73.84,74.34,114.05,9.41,25.49,23.79,82.61,2022,Europe,46.2017559,6.1466014
Dallas,United States,192.67,170.66,49.71,66.2,67.85,2.12,35.16,41.61,81.85,2022,North America,32.7762719,-96.7968559
The Hague (Den Haag),Netherlands,191.44,88.51,74.64,77.95,73.94,7.2,28.87,20.46,90.61,2022,Europe,52.0799838,4.3113461
Buffalo,United States,191.01,124.36,55.5,76.92,74.29,1.52,23.8,27.82,66.43,2022,North America,42.8867166,-78.8783922
Brisbane,Australia,190.34,103.8,65.19,82.09,79.44,6.34,39.83,22.66,98.07,2022,Oceania,-27.4689682,153.0234991
Seattle,United States,189.58,145.39,49.54,74.01,88.52,4.52,41.85,28.84,91.73,2022,North America,47.6038321,-122.3300624
Perth,Australia,189.55,110.04,58.07,77.79,77.29,5.44,35.62,23.31,95.71,2022,Oceania,-31.9558964,115.8605801
San Diego,United States,189.38,127.94,63.29,70.87,75.47,6.33,33.8,35.05,97.08,2022,North America,32.7174202,-117.1627728
Eindhoven,Netherlands,188.1,86.92,75.71,72.65,78.24,6.51,25.59,22.37,85.38,2022,Europe,51.4392648,5.478633
San Jose,United States,188.09,157.39,54.42,73.38,73.71,6.38,38.26,45.58,95.53,2022,North America,37.3361905,-121.890583
Victoria,Canada,186.37,89.12,63.33,69.48,76.65,8.09,28.15,14.62,92.52,2022,North America,48.4283182,-123.3649533
Copenhagen,Denmark,185.34,90.67,72.67,78.21,88.34,9.15,28.49,21.34,83.74,2022,Europe,55.6867243,12.5700724
Kansas City,United States,184.4,127.2,42.26,75.4,66.07,2.2,26.11,31.41,75.08,2022,North America,39.100105,-94.5781416
Edinburgh,United Kingdom,182.05,88.03,69.96,80.81,73.15,8.48,28.85,27.37,84.01,2022,Europe,55.9533456,-3.1883749
Dusseldorf,Germany,182.03,109.99,66.56,73.04,68.28,9.51,30.3,32.66,86.37,2022,Europe,51.2254018,6.7763137
