City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Raleigh,United States,1,9,3,11,17,19,22,3,17,2022,North America,35.7803977,-78.6390989
Columbus,United States,2,5,9,16,22,31,6,6,35,2022,North America,39.9622601,-83.0007065
Madison,United States,3,16,2,5,12,22,5,2,49,2022,North America,43.074761,-89.3837613
Austin,United States,4,3,7,24,9,23,26,24,19,2022,North America,30.2711286,-97.7436995
Charlotte,United States,5,7,13,14,23,13,27,12,16,2022,North America,35.2272086,-80.8430827
Oklahoma City,United States,6,20,23,10,6,17,7,4,27,2022,North America,35.4729886,-97.5170536
Richmond,United States,7,17,17,17,13,33,1,18,22,2022,North America,37.5385087,-77.43428
Dallas,United States,8,2,26,37,14,9,29,31,20,2022,North America,32.7762719,-96.7968559
Buffalo,United States,9,27,10,8,30,3,4,11,40,2022,North America,42.8867166,-78.8783922
Seattle,United States,10,6,27,15,46,35,42,13,7,2022,North America,47.6038321,-122.3300624
San Diego,United States,11,21,5,25,33,42,25,22,2,2022,North America,32.7174202,-117.1627728
San Jose,United States,12,4,14,18,29,43,37,38,4,2022,North America,37.3361905,-121.890583
Kansas City,United States,13,22,37,13,8,10,11,19,28,2022,North America,39.100105,-94.5781416
San Antonio,United States,14,11,22,26,1,7,19,39,24,2022,North America,29.4246002,-98.4951405
Jacksonville,United States,15,8,35,27,21,18,30,32,11,2022,North America,30.3321838,-81.655651
Houston,United States,16,1,43,22,3,6,45,47,14,2022,North America,29.7589382,-95.3676974
Cincinnati,United States,17,25,21,32,5,11,8,34,30,2022,North America,39.1014537,-84.5124602
Portland,United States,18,43,29,20,36,36,23,17,10,2022,North America,45.5202471,-122.6741949
Orlando,United States,19,28,28,42,15,20,34,21,12,2022,North America,28.5421109,-81.3790304
Spokane,United States,20,38,32,43,16,38,3,5,37,2022,North America,47.6571934,-117.4235106
Boston,United States,21,34,6,9,45,50,49,9,34,2022,North America,42.3602534,-71.0582912
Boise,United States,22,51,4,1,18,45,2,16,43,2022,North America,43.6166163,-116.200886
Saint Louis,United States,23,29,48,2,10,4,14,27,29,2022,North America,38.6264256,-90.1995853
Cleveland,United States,24,24,44,3,32,2,24,26,31,2022,North America,41.4996562,-81.6936813
Tampa,United States,25,46,19,34,34,29,31,15,15,2022,North America,27.9477595,-82.458444
Albuquerque,United States,26,30,49,40,2,16,10,10,38,2022,North America,35.0841034,-106.650985
Indianapolis,United States,27,32,36,19,11,7,18,33,36,2022,North America,39.7683331,-86.1583502
Pittsburgh,United States,28,36,8,12,43,12,36,40,33,2022,North America,40.4416941,-79.9900861
Nashville,United States,29,40,16,41,28,25,38,23,18,2022,North America,36.1622767,-86.7742984
Anchorage,United States,30,33,40,47,47,15,13,1,51,2022,North America,61.2163129,-149.894852
Minneapolis,United States,31,37,32,4,40,27,33,7,50,2022,North America,44.9772995,-93.2654692
Salt Lake City,United States,32,10,1,23,7,41,28,50,39,2022,North America,40.7596198,-111.8867975
Denver,United States,33,19,12,29,31,33,32,34,47,2022,North America,39.7392364,-104.9848623
Baltimore,United States,34,12,51,7,27,5,20,43,23,2022,North America,39.2908816,-76.610759
Atlanta,United States,35,18,42,33,35,28,43,36,9,2022,North America,33.7489924,-84.3902644
Reno,United States,36,47,11,49,24,36,9,20,44,2022,North America,39.5261206,-119.8126581
Sacramento,United States,37,44,20,31,38,49,12,37,8,2022,North America,38.5810606,-121.493895
Tucson,United States,38,50,25,50,4,32,16,8,32,2022,North America,32.2228765,-110.9748477
Milwaukee,United States,39,42,47,36,26,13,17,14,45,2022,North America,43.0349931,-87.922497
Washington,United States,40,31,39,28,44,40,40,30,21,2022,North America,38.8950368,-77.0365427
Oakland,United States,41,39,45,6,48,47,35,28,3,2022,North America,37.8044557,-122.2713563
Honolulu,United States,42,49,15,21,51,47,41,25,6,2022,North America,21.2890997,-157.717299
Phoenix,United States,43,13,30,35,20,26,21,46,48,2022,North America,33.4484367,-112.074141
San Francisco,United States,44,15,38,39,49,46,50,42,1,2022,North America,37.7790262,-122.419906
Las Vegas,United States,45,26,34,51,19,21,15,44,46,2022,North America,36.1672559,-115.148516
Chicago,United States,46,14,46,38,37,24,44,41,41,2022,North America,41.8755616,-87.6244212
Miami,United States,47,48,31,44,39,39,47,29,13,2022,North America,25.7741728,-80.19362
Philadelphia,United States,48,35,41,30,41,30,39,45,26,2022,North America,39.9527237,-75.1635262
Los Angeles,United States,49,23,24,48,41,44,51,51,5,2022,North America,34.0536909,-118.242766
New York,United States,50,45,18,46,50,51,46,48,25,2022,North America,40.7127281,-74.0060152
Detroit,United States,51,41,50,45,25,1,48,49,42,2022,North America,42.3315509,-83.0466403
Raleigh,United States,1,7,3,9,20,21,20,4,17,2021,North America,35.7803977,-78.6390989
Madison,United States,2,18,2,5,14,26,3,2,47,2021,North America,43.074761,-89.3837613
Columbus,United States,3,8,9,12,24,9,8,7,34,2021,North America,39.9622601,-83.0007065
Austin,United States,4,4,5,23,1,26,24,23,19,2021,North America,30.2711286,-97.7436995
Charlotte,United States,5,13,11,13,22,16,25,11,16,2021,North America,35.2272086,-80.8430827
Richmond,United States,6,28,13,14,13,31,1,16,22,2021,North America,37.5385087,-77.43428
San Diego,United States,7,19,6,25,37,38,23,19,2,2021,North America,32.7174202,-117.1627728
Buffalo,United States,8,41,12,7,23,4,2,5,39,2021,North America,42.8867166,-78.8783922
Dallas,United States,9,1,25,37,5,8,26,31,20,2021,North America,32.7762719,-96.7968559
Seattle,United States,10,9,23,16,44,37,40,12,7,2021,North America,47.6038321,-122.3300624
Kansas City,United States,11,17,37,3,15,7,9,17,27,2021,North America,39.100105,-94.5781416
Portland,United States,12,34,21,15,33,33,21,15,10,2021,North America,45.5202471,-122.6741949
San Jose,United States,13,3,15,17,32,42,35,39,4,2021,North America,37.3361905,-121.890583
Reno,United States,14,15,14,44,11,28,6,18,42,2021,North America,39.5261206,-119.8126581
Tampa,United States,15,30,24,31,35,24,29,14,15,2021,North America,27.9477595,-82.458444
Saint Louis,United States,16,11,47,2,12,3,12,26,28,2021,North America,38.6264256,-90.1995853
Cincinnati,United States,17,23,18,30,2,10,5,34,29,2021,North America,39.1014537,-84.5124602
Nashville,United States,18,20,17,39,21,17,36,22,18,2021,North America,36.1622767,-86.7742984
Indianapolis,United States,19,12,34,18,7,5,15,30,35,2021,North America,39.7683331,-86.1583502
Jacksonville,United States,20,24,36,27,18,14,27,27,11,2021,North America,30.3321838,-81.655651
San Antonio,United States,21,29,20,20,4,12,17,36,24,2021,North America,29.4246002,-98.4951405
Tucson,United States,22,40,26,48,10,19,16,8,31,2021,North America,32.2228765,-110.9748477
Minneapolis,United States,23,22,29,6,41,29,30,9,48,2021,North America,44.9772995,-93.2654692
Spokane,United States,24,43,31,40,26,40,4,3,36,2021,North America,47.6571934,-117.4235106
Boston,United States,25,37,4,10,43,47,46,10,33,2021,North America,42.3602534,-71.0582912
Sacramento,United States,26,33,22,26,30,41,10,38,8,2021,North America,38.5810606,-121.493895
Albuquerque,United States,27,31,46,34,6,18,7,6,37,2021,North America,35.0841034,-106.650985
Pittsburgh,United States,28,35,7,11,36,13,34,37,32,2021,North America,40.4416941,-79.9900861
Orlando,United States,29,39,27,43,17,22,32,21,12,2021,North America,28.5421109,-81.3790304
Denver,United States,30,14,8,29,27,34,30,32,45,2021,North America,39.7392364,-104.9848623
Anchorage,United States,31,26,40,47,46,15,11,1,49,2021,North America,61.2163129,-149.894852
Houston,United States,32,2,42,21,8,6,41,44,14,2021,North America,29.7589382,-95.3676974
Salt Lake City,United States,33,6,1,22,3,43,28,48,38,2021,North America,40.7596198,-111.8867975
Atlanta,United States,34,10,39,32,29,30,43,35,9,2021,North America,33.7489924,-84.3902644
Washington,United States,35,21,35,24,42,36,38,28,21,2021,North America,38.8950368,-77.0365427
