City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Raleigh,United States,100.0,82.47510323050766,68.77503107305621,75.97879282218597,57.054937098379945,96.73356946084219,67.4137247124157,89.23020883924235,81.26094570928194,2022,North America,35.7803977,-78.6390989
Raleigh,United States,97.55192878338278,87.27812904700235,68.67651080120318,75.81078289609586,56.11203210889102,96.3559132573217,68.76122082585277,88.76499818203854,81.26094570928194,2021,North America,35.7803977,-78.6390989
Raleigh,United States,98.47981664249966,93.46148816529357,72.05382628788908,76.91331923890063,55.5249667742548,99.30802821632516,67.91283486605357,90.06024096385542,81.26094570928194,2020,North America,35.7803977,-78.6390989
Raleigh,United States,96.32189032545698,92.78429977469465,72.82684042700681,78.07179487179488,53.95574128597208,99.39218319315853,71.0489264343541,89.61133309117326,81.26094570928194,2019,North America,35.7803977,-78.6390989
Raleigh,United States,94.15326224471355,80.85092971950836,78.97562391178177,82.97065282491515,59.885116598079556,99.09999057581754,73.74701670644393,89.57528957528957,80.73329390892962,2018,North America,35.7803977,-78.6390989
Canberra,Australia,99.7752808988764,58.78673791595823,85.34732771716614,89.29445350734095,50.04977826047607,92.16843762298308,85.02578341927806,99.5628946090335,79.90659661412725,2022,Oceania,-35.2975906,149.1012676
Canberra,Australia,99.17161226508406,64.81298087910415,85.93109105824448,87.83309233629416,44.402757176511656,90.96803040465012,85.15858767205266,99.33341413162042,79.90659661412725,2021,Oceania,-35.2975906,149.1012676
Canberra,Australia,100.0,75.34327187132209,89.13959494359113,90.21141649048626,50.43668122270743,97.7292576419214,85.32586965213915,98.09638554216868,79.90659661412725,2020,Oceania,-35.2975906,149.1012676
Canberra,Australia,100.0,84.59030001185816,85.6231803687786,88.28717948717947,54.26916136385221,97.37083892854619,89.66913058782119,98.86184768131736,79.90659661412725,2019,Oceania,-35.2975906,149.1012676
Canberra,Australia,100.0,85.50898203592814,89.04526987811954,94.23038530644838,51.74039780521261,97.5544246536613,93.03536558906488,97.55067567567568,79.45594322885866,2018,Oceania,-35.2975906,149.1012676
Adelaide,Australia,98.23261463710901,58.258440612096194,75.92873912443032,86.39885807504078,49.46148972757716,94.35261707988981,84.49028163427212,93.73482272948033,94.19731465265615,2022,Oceania,-34.9281805,138.5999312
Adelaide,Australia,100.0,68.8733145425459,76.63385288487834,86.90353232803139,48.06735886920862,93.3825173261793,85.21843207660083,94.21888255968973,94.19731465265615,2021,Oceania,-34.9281805,138.5999312
Adelaide,Australia,98.31142710136115,74.38211063162025,76.40342530922929,86.49048625792811,56.85399658249477,98.42122942559624,85.5657736905238,91.79518072289156,94.19731465265615,2020,Oceania,-34.9281805,138.5999312
