City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Raleigh,United States,100.0,68.05755395683455,95.84219229860618,77.66295707472177,86.3370677057964,80.58479532163743,72.30887241114804,88.94726600505935,75.95687331536388,2022,North America,35.7803977,-78.6390989
Columbus,United States,91.47058823529413,75.99335915882679,74.69879518072287,70.94594594594595,82.68387725280078,69.4736842105263,92.38046535412937,81.00797820587663,53.33333333333334,2022,North America,39.9622601,-83.0007065
Madison,United States,88.50267379679146,54.78693967902601,96.95251594613748,86.16852146263909,88.48027277155384,75.08771929824562,94.32370237790846,94.59038723487059,18.02336028751123,2022,North America,43.074761,-89.3837613
Austin,United States,88.14171122994652,83.65246264526841,89.72360028348686,59.379968203497626,90.47735021919144,74.97076023391813,68.67808744566607,60.49815139132127,72.72237196765498,2022,North America,30.2711286,-97.7436995
Charlotte,United States,86.04278074866312,68.89872717210847,70.25750059059767,73.64864864864862,81.80711154408183,86.90058479532163,67.34850421886986,76.18213660245183,76.26235399820305,2022,North America,35.2272086,-80.8430827
Oklahoma City,United States,84.45187165775403,50.16048699501938,60.78431372549018,78.21939586645468,94.27666829030689,82.57309941520468,92.22705190488367,88.67483946293054,64.6900269541779,2022,North America,35.4729886,-97.5170536
Richmond,United States,80.36096256684493,53.469839513004985,67.42263170328371,70.58823529411762,87.43302484169509,67.71929824561403,100.0,70.92819614711033,71.26684636118597,2022,North America,37.5385087,-77.43428
Dallas,United States,79.7994652406417,97.4322080796901,58.469170800850456,40.14308426073132,87.18947881149539,91.46198830409357,66.24904116594223,50.55458260361938,72.3090745732255,2022,North America,32.7762719,-96.7968559
Buffalo,United States,77.5802139037433,46.18705035971223,72.14741318214031,82.7503974562798,71.50511446663418,98.47953216374269,95.295320889798,77.38859700330804,44.600179694519326,2022,North America,42.8867166,-78.8783922
Seattle,United States,75.66844919786098,69.46319867183176,58.06756437514764,71.18441971383149,36.848514369215806,63.39181286549707,49.14344157504475,75.40377505351236,90.062893081761,2022,North America,47.6038321,-122.3300624
San Diego,United States,75.40106951871658,50.149418926397345,90.55043704228679,58.70429252782194,68.63127131027765,42.22222222222221,69.72641268217848,63.3197120062269,99.6765498652291,2022,North America,32.7174202,-117.1627728
San Jose,United States,73.6764705882353,82.7448810182623,69.59603118355776,68.68044515103335,72.91768144179252,41.637426900584785,58.322679621580164,42.829344230395016,96.89128481581311,2022,North America,37.3361905,-121.890583
Kansas City,United States,68.74331550802141,49.33038184836747,40.869359792109606,76.70906200317965,91.52459814905019,90.52631578947368,89.3889030938379,70.40280210157619,60.14375561545372,2022,North America,39.100105,-94.5781416
San Antonio,United States,65.16042780748663,60.918649695628105,61.91826128041577,57.591414944356124,100.0,91.69590643274853,78.47097928918436,42.576376726989686,70.02695417789757,2022,North America,29.4246002,-98.4951405
Jacksonville,United States,65.0668449197861,68.25677919203102,45.83038034490904,53.89507154213034,83.14661471018022,81.87134502923976,65.81436972641268,50.30161510021404,83.0188679245283,2022,North America,30.3321838,-81.655651
Houston,United States,59.67914438502675,100.0,26.624143633356944,62.2813990461049,96.71212859230396,92.39766081871345,48.70877013551521,22.163845106051767,78.92183288409703,2022,North America,29.7589382,-95.3676974
Cincinnati,United States,58.99732620320859,47.0835639180963,62.08362863217575,50.35771065182827,95.61617145640527,89.82456140350877,92.04806954743033,46.05954465849386,56.83737646001796,2022,North America,39.1014537,-84.5124602
Portland,United States,58.850267379679146,28.179302711676826,55.65792582093078,67.88553259141496,65.31904529956162,63.040935672514614,70.57018665302992,71.23954076668613,86.16352201257861,2022,North America,45.5202471,-122.6741949
Orlando,United States,58.315508021390364,45.03597122302158,55.82329317269077,30.68362480127185,86.58061373599612,80.11695906432749,62.158015852723096,63.358630083673866,81.97663971248876,2022,North America,28.5421109,-81.3790304
Spokane,United States,57.272727272727266,32.90536801328169,47.86203638081738,30.047694753577083,86.55625913297615,56.14035087719298,95.47430324725134,85.54193422844912,45.84007187780773,2022,North America,47.6571934,-117.4235106
Boston,United States,55.82887700534761,36.62423907028224,90.07795889440114,78.45786963434023,44.27666829030688,19.88304093567251,40.16875479417029,79.31504183693326,54.123989218328845,2022,North America,42.3602534,-71.0582912
Boise,United States,54.772727272727266,0.0,92.03874320812662,100.0,86.11787627861665,35.08771929824559,99.23293275377141,72.07627943179607,42.22821203953279,2022,North America,43.6166163,-116.200886
Saint Louis,United States,53.56951871657756,44.90315439955729,10.58351051263879,98.37042925278215,89.6736483195324,94.26900584795321,86.52518537458451,55.55555555555556,59.55076370170709,2022,North America,38.6264256,-90.1995853
Cleveland,United States,53.516042780748656,47.249584947426676,25.939050318922742,96.422893481717,68.77739892839749,99.64912280701755,69.87982613142418,56.314458065771554,56.60377358490565,2022,North America,41.4996562,-81.6936813
Tampa,United States,52.17914438502673,17.321527393469847,64.18615639026694,48.489666136724935,67.7545056015587,70.17543859649123,64.51035540782408,74.70324965946682,77.37646001796945,2022,North America,27.9477595,-82.458444
Albuquerque,United States,52.01871657754009,44.06198118428335,10.347271438695957,32.55166931637521,97.9298587433025,82.80701754385964,91.92022500639223,78.80910683012259,45.732255166217435,2022,North America,35.0841034,-106.650985
Indianapolis,United States,50.81550802139039,43.05478693967903,41.24734231041814,68.16375198728139,88.9186556259133,91.69590643274853,80.6187675786244,50.2237789453201,50.871518418688225,2022,North America,39.7683331,-86.1583502
Pittsburgh,United States,50.240641711229955,36.380741560597684,84.92794708244742,77.42448330683622,51.850949829517795,89.12280701754386,58.83405778573254,41.681260945709276,54.84276729559747,2022,North America,40.4416941,-79.9900861
Nashville,United States,50.160427807486634,31.909241837299394,68.48570753602645,31.200317965023846,73.13687286897223,73.5672514619883,56.481718230631564,62.03541545047674,74.41150044923629,2022,North America,36.1622767,-86.7742984
Anchorage,United States,48.60962566844921,39.84504703929164,32.69548783368768,23.290937996820347,30.2484169508037,85.14619883040935,86.72973664024546,100.0,0.0,2022,North America,61.2163129,-149.894852
Minneapolis,United States,48.42245989304812,35.4731599335916,47.86203638081738,90.62003179650239,59.839259620068205,72.046783625731,63.30861672206596,80.50204319906597,14.106019766397125,2022,North America,44.9772995,-93.2654692
Salt Lake City,United States,48.26203208556152,64.17266187050362,100.00000000000001,61.04928457869631,94.2523136872869,43.15789473684209,66.47916133981079,11.013815917493673,44.76190476190475,2022,North America,40.7596198,-111.8867975
Denver,United States,45.41443850267379,52.40730492529053,70.94259390503188,52.90143084260729,69.38626400389676,67.71929824561403,63.487599079519306,46.05954465849386,26.361185983827493,2022,North America,39.7392364,-104.9848623
Baltimore,United States,44.51871657754011,59.2141671278362,0.0,84.26073131955482,73.28300048709207,93.5672514619883,75.47941702889287,33.48900564312122,71.21293800539082,2022,North America,39.2908816,-76.610759
Atlanta,United States,43.87700534759361,53.17100166021029,28.39593668792817,49.880763116057246,65.87920116902097,71.69590643274853,49.11787266683713,44.191476941039106,86.46900269541779,2022,North America,33.7489924,-84.3902644
Reno,United States,43.81016042780749,15.805201992252353,71.84030238601463,20.389507154213014,80.32148075986362,63.040935672514614,91.97136282280746,67.95096322241682,37.14285714285714,2022,North America,39.5261206,-119.8126581
Sacramento,United States,42.4197860962567,20.807969009407874,62.50885896527285,51.4308426073132,62.76181198246471,25.614035087719287,87.13883917156738,42.88772134656548,88.10422282120395,2022,North America,38.5810606,-121.493895
Tucson,United States,42.11229946524063,1.173215273934701,58.70540987479328,18.561208267090624,95.73794447150512,68.88888888888889,83.81488110457684,79.56800934033859,55.795148247978425,2022,North America,32.2228765,-110.9748477
Milwaukee,United States,41.52406417112299,29.396790260099614,19.135364989369243,42.52782193958662,78.15392109108622,86.90058479532163,83.17565839938635,75.30647985989492,34.77088948787062,2022,North America,43.0349931,-87.922497
Washington,United States,41.00267379679146,43.386828998339794,38.57784077486415,53.73608903020668,48.49001461276184,52.51461988304092,52.620813091281,53.57073360575987,71.89577717879605,2022,North America,38.8950368,-77.0365427
Oakland,United States,40.85561497326203,32.20807969009409,22.37184030238601,84.65818759936407,26.108134437408665,32.04678362573098,59.780107389414475,55.26366997470325,98.45462713387242,2022,North America,37.8044557,-122.2713563
Honolulu,United States,37.165775401069524,7.315993359158827,68.65107488778644,65.302066772655,0.0,32.04678362573098,50.83098951674764,59.8560031134462,96.53189577717879,2022,North America,21.2890997,-157.717299
Phoenix,United States,34.71925133689839,59.00387382401771,55.0673281360737,43.91891891891893,83.48757915245982,72.16374269005848,72.74354385067758,22.591943957968482,21.832884097035034,2022,North America,33.4484367,-112.074141
San Francisco,United States,32.018716577540125,55.92695074709464,38.861327663595546,33.62480127186009,23.721383341451556,32.98245614035086,25.159805676297637,34.7343841214244,100.0,2022,North America,37.7790262,-122.419906
Las Vegas,United States,28.983957219251344,46.70724958494743,47.05882352941176,0.0,85.9961032635168,75.67251461988303,86.11608284326259,28.52695076863202,28.37376460017969,2022,North America,36.1672559,-115.148516
Chicago,United States,28.409090909090907,58.25124515771998,21.47413182140325,37.00317965023845,64.7588894301023,74.15204678362574,48.990028125799036,35.66841798015179,44.025157232704395,2022,North America,41.8755616,-87.6244212
Miami,United States,28.288770053475925,12.263420033204204,52.51594613749112,29.570747217806026,62.46955674622505,54.03508771929823,46.15187931475326,54.79665304533956,79.20934411500448,2022,North America,25.7741728,-80.19362
Philadelphia,United States,24.251336898395735,36.502490315439964,29.907866761162282,52.782193958664514,59.57135898684853,69.94152046783626,53.20889798005626,27.437244600116742,65.35489667565139,2022,North America,39.9527237,-75.1635262
