"City","Country","Continent"
"Muscat","Oman","Asia"
"Abu Dhabi","United Arab Emirates","Asia"
"Tokyo","Japan","Asia"
"Dubai","United Arab Emirates","Asia"
"Bursa","Turkey","Asia"
"Mangalore","India","Asia"
"Doha","Qatar","Asia"
"Singapore","Singapore","Asia"
"Riyadh","Saudi Arabia","Asia"
"Limassol","Cyprus","Asia"
"Haifa","Israel","Asia"
"Tel Aviv-Yafo","Israel","Asia"
"Manama","Bahrain","Asia"
"Jeddah (Jiddah)","Saudi Arabia","Asia"
"Taipei","Taiwan","Asia"
"Islamabad","Pakistan","Asia"
"Thiruvananthapuram","India","Asia"
"Nicosia","Cyprus","Asia"
"Izmir","Turkey","Asia"
"Sharjah","United Arab Emirates","Asia"
"Bangalore","India","Asia"
"Ankara","Turkey","Asia"
"Chiang Mai","Thailand","Asia"
"Coimbatore","India","Asia"
"Astana (Nur-Sultan)","Kazakhstan","Asia"
"Seoul","South Korea","Asia"
"Yerevan","Armenia","Asia"
"Pune","India","Asia"
"Hyderabad","India","Asia"
"Tbilisi","Georgia","Asia"
"Amman","Jordan","Asia"
"Kuwait City","Kuwait","Asia"
"Ahmedabad","India","Asia"
"Kuala Lumpur","Malaysia","Asia"
"Gurgaon","India","Asia"
"Baku","Azerbaijan","Asia"
"Istanbul","Turkey","Asia"
"Shenzhen","China","Asia"
"Chennai","India","Asia"
"Lahore","Pakistan","Asia"
"Noida","India","Asia"
"Hong Kong","Hong Kong","Asia"
"Hanoi","Vietnam","Asia"
"Kolkata","India","Asia"
"Kathmandu","Nepal","Asia"
"Bangkok","Thailand","Asia"
"Karachi","Pakistan","Asia"
"Delhi","India","Asia"
"Shanghai","China","Asia"
"Almaty","Kazakhstan","Asia"
"Beirut","Lebanon","Asia"
"Mumbai","India","Asia"
"Ho Chi Minh City","Vietnam","Asia"
"Jakarta","Indonesia","Asia"
"Beijing","China","Asia"
"Colombo","Sri Lanka","Asia"
"Dhaka","Bangladesh","Asia"
"Tehran","Iran","Asia"
"Manila","Philippines","Asia"
